Category,Value in 2024 (Malaysian ringgit million),Value in 2023 (Malaysian ringgit million),Growth Percent(%),Share in 2024,Share in 2023
Shopping,39895.38,28848.93,38.3,37.4,38.8
Accommodation,19322.2,13406,44.1,18.1,18
Food and Beverages,17188.92,11272.73,52.5,16.1,15.2
International Airfares,8689.88,3779.35,129.9,8.1,5.1
Local Transportation,6079.64,4984.88,22,5.7,6.7
Medical,5055.84,3542.73,42.7,4.7,4.8
Organised Tour,4089.35,3137.57,30.3,3.8,4.2
Domestic Airfares,2555.85,1925.33,32.7,2.4,2.6
Entertainment,2316.73,2761.41,-16.1,2.2,3.7
Fuel,1113.5,273.7,306.8,1,0.4
Sports,154.89,105.84,46.3,0.1,0.1
Others,320.92,253.08,26.8,0.3,0.3
